pure_text,orginial_text,len,label
Those Schmo's will be hacked and the deliveries made to a Frat house  .  ,"['those', 'schmo', ""'s"", 'will', 'be', 'hacked', 'and', 'the', 'deliveries', 'made', 'to', 'a', 'frat', 'house']",14,0
One day we will be the robot and the robots will be kicking us,"['one', 'day', 'we', 'will', 'be', 'the', 'robot', 'and', 'the', 'robots', 'will', 'be', 'kicking', 'us']",14,0
These reporters seem freakishly excited about this  .  ,"['these', 'reporters', 'seem', 'freakishly', 'excited', 'about', 'this']",7,2
I didn't help the robot,"['i', 'did', 'not', 'help', 'the', 'robot']",6,0
These punching guys and even their skateboards will carry soon a digital identity which will expose their actions to the officer robot… and this guy will not be fun to attack  .   You use already fancy tech to film them  .   Same tech will bring attackers to law  .  ,"['these', 'punching', 'guys', 'and', 'even', 'their', 'skateboards', 'will', 'carry', 'soon', 'a', 'digital', 'identity', 'which', 'will', 'expose', 'their', 'actions', 'to', 'the', 'officer', 'robot…', 'and', 'this', 'guy', 'will', 'not', 'be', 'fun', 'to', 'attack', 'you', 'use', 'already', 'fancy', 'tech', 'to', 'film', 'them', 'same', 'tech', 'will', 'bring', 'attackers', 'to', 'law']",46,2
Cool! I have never seen robots do that before!,"['cool', 'i', 'have', 'never', 'seen', 'robots', 'do', 'that', 'before']",9,1
Make it fly to avoid theft,"['make', 'it', 'fly', 'to', 'avoid', 'theft']",6,0
It gives it to the first person that promises to keep it safe for you  .   LOL,"['it', 'gives', 'it', 'to', 'the', 'first', 'person', 'that', 'promises', 'to', 'keep', 'it', 'safe', 'for', 'you', 'lol']",16,0
"Lol, they will likely have gps tracking on them not too mention all the cameras","['lol', 'they', 'will', 'likely', 'have', 'gps', 'tracking', 'on', 'them', 'not', 'too', 'mention', 'all', 'the', 'cameras']",15,1
Until some kid kicks it over for fun and your food gets tumbled around  .  ,"['until', 'some', 'kid', 'kicks', 'it', 'over', 'for', 'fun', 'and', 'your', 'food', 'gets', 'tumbled', 'around']",14,0
"Someone has to build, fix, and maintain the  robots, (until they build robots that can do those jobs)  .  ","['someone', 'has', 'to', 'build', 'fix', 'and', 'maintain', 'the', 'robots', 'until', 'they', 'build', 'robots', 'that', 'can', 'do', 'those', 'jobs']",18,2
