comment_id,comment_author,comment_time,parent_id,is_reply,video_id,pure_text,label,index,cleaned_text,text_len
UgzouM7XgTJC0kAmV-F4AaABAg,eddie C,2020-10-05T05:06:41Z,UgzouM7XgTJC0kAmV-F4AaABAg,False,3GmYk9ZPleI,Brutal,0,1,['brutal'],1
UgzGiCzB7Ub9eWR8bXl4AaABAg,Ari Shem,2018-12-03T06:49:36Z,UgzGiCzB7Ub9eWR8bXl4AaABAg,False,3GmYk9ZPleI,"It's never gonna work, guys. Can U imagine 100 of those on your streets? But 1000? Or 10k? Sidewalks not wide enough for pedestrians. And those robots gonna be there. Some of them gonna stay in the middle of sidewalk when they discharged or just malfunctioned. There are suppose to be separate roads for them. And even maybe highway railways. Only last 15-50 meters they could make on wheels. Other time those robots suppose to ride separate roads.",0,10,"['it', ""'s"", 'never', 'gon', 'na', 'work', ',', 'guys', '.', 'can', 'u', 'imagine', 'of', 'those', 'on', 'your', 'streets', '?', 'but', '?', 'or', '?', 'sidewalks', 'not', 'wide', 'enough', 'for', 'pedestrians', '.', 'and', 'those', 'robots', 'gon', 'na', 'be', 'there', '.', 'some', 'of', 'them', 'gon', 'na', 'stay', 'in', 'the', 'middle', 'of', 'sidewalk', 'when', 'they', 'discharged', 'or', 'just', 'malfunctioned', '.', 'there', 'are', 'suppose', 'to', 'be', 'separate', 'roads', 'for', 'them', '.', 'and', 'even', 'maybe', 'highway', 'railways', '.', 'only', 'last', 'meters', 'they', 'could', 'make', 'on', 'wheels', '.', 'other', 'time', 'those', 'robots', 'suppose', 'to', 'ride', 'separate', 'roads', '.']",90
Ugy7M8syWSRMFJ1h9Ul4AaABAg,Ahmad Nasiri,2018-11-21T20:13:12Z,Ugy7M8syWSRMFJ1h9Ul4AaABAg,False,3GmYk9ZPleI,Like many innovations looks great but I do not think they can be applied efficiently in real world delivery situations.,0,12,"['like', 'many', 'innovations', 'looks', 'great', 'but', 'i', 'do', 'not', 'think', 'they', 'can', 'be', 'applied', 'efficiently', 'in', 'real', 'world', 'delivery', 'situations', '.']",21
UgzckDzGyDaPiv8OFRh4AaABAg,Vian,2018-10-21T05:30:13Z,UgzckDzGyDaPiv8OFRh4AaABAg,False,3GmYk9ZPleI,That's so great,0,22,"['that', ""'s"", 'so', 'great']",4
UgwnqQqj4XSO8JheMv94AaABAg,Bob Steel,2023-03-30T00:25:57Z,UgwnqQqj4XSO8JheMv94AaABAg,False,3UUfFmondH0,Literally the start of the end of the world give it a 400 or 500 years it and the army AI builds itself will slaughter mankind - so sad,0,23,"['literally', 'the', 'start', 'of', 'the', 'end', 'of', 'the', 'world', 'give', 'it', 'a', 'or', 'years', 'it', 'and', 'the', 'army', 'ai', 'builds', 'itself', 'will', 'slaughter', 'mankind', 'so', 'sad']",26
UgxOQxA3Wcb7UvWr2k54AaABAg,Robert Keech,2022-12-19T19:19:49Z,UgxOQxA3Wcb7UvWr2k54AaABAg,False,3UUfFmondH0,Could fit a bus through there,0,26,"['could', 'fit', 'a', 'bus', 'through', 'there']",6
Ugywby8yDORci-gW4Yh4AaABAg.9aCOeqYDCNr9lTMaJieaLO,matty clare,2023-01-29T11:40:11Z,Ugywby8yDORci-gW4Yh4AaABAg,True,3UUfFmondH0,Yes a future where it takes 2 hours to get a cold takeaway delivered.,0,28,"['yes', 'a', 'future', 'where', 'it', 'takes', 'hours', 'to', 'get', 'a', 'cold', 'takeaway', 'delivered', '.']",14
UgzJ5vRdUx1Pb-4D4Xl4AaABAg,Steven Buchan,2021-11-14T15:54:21Z,UgzJ5vRdUx1Pb-4D4Xl4AaABAg,False,3UUfFmondH0,You can get a aircraft carrier through there.,0,40,"['you', 'can', 'get', 'a', 'aircraft', 'carrier', 'through', 'there', '.']",9
UgwD5f-jxJF6x0QBN094AaABAg,Slow Mo,2021-07-29T16:32:59Z,UgwD5f-jxJF6x0QBN094AaABAg,False,3UUfFmondH0,That's slow,0,45,"['that', ""'s"", 'slow']",3
UgwQhLyY8l_AY7-DZNN4AaABAg,Ken Harvey,2022-12-27T23:59:52Z,UgwQhLyY8l_AY7-DZNN4AaABAg,False,4yaQK0z8mDU,Humans are quickly becoming obsolete.,0,49,"['humans', 'are', 'quickly', 'becoming', 'obsolete', '.']",6
